seed,entry,category,transition_count,ebrem_transition_count,ebrem_step_count,max_frac,sum_loss_GeV,cumulative_frac,lcio_residual_pct,gsf_residual_pct
78,2,no_ebrem,232,0,0,0.0,0.0,0.0,-0.06207015276324055,0.11600516846717233
78,3,light_ebrem,232,1,1,0.0002251753133669963,0.0004515647888183594,0.0002251753133669654,-0.017661912100304163,1.1785136123622089
78,4,hard_ebrem,232,1,1,0.14712949392388672,0.29532337188720703,0.14712949392388674,-14.199473839085943,-0.16512774980640046
78,5,light_ebrem,232,1,1,0.0020623776621035016,0.0041408538818359375,0.0020623776621034873,-0.13435610072464474,0.22671206402703728
78,6,hard_ebrem,232,2,2,0.1416029552330884,0.2838040590286255,0.14165111475453185,0.1011948350311621,0.8066943010301132
78,7,no_ebrem,232,0,0,0.0,0.0,0.0,0.045637362966948335,0.1568898819476245
78,8,light_ebrem,231,1,2,0.00013451815466284249,0.00026988983154296875,0.00013451815466281047,0.030284332767701545,0.2336627025526348
78,9,hard_ebrem,232,3,3,0.28185486478934263,0.6441386938095093,0.3208648542520066,-31.956489470314487,32.61215971133202
79,0,no_ebrem,232,0,0,0.0,0.0,0.0,-0.07222684765790192,0.08399517697767195
79,1,no_ebrem,231,0,0,0.0,0.0,0.0,-0.4208076061766904,-0.5749278293446669
79,2,light_ebrem,231,1,1,0.004726613142363192,0.00948941707611084,0.004726613142363223,-0.5288414669719369,0.4178659234126877
79,3,light_ebrem,232,1,1,0.032089031908219025,0.06442058086395264,0.03208903190821899,-3.365610713664528,-1.1663556460095201
79,4,light_ebrem,232,1,1,0.0510793414396028,0.10231244564056396,0.0510793414396028,-1.96618182782155,-0.3538017032869323
79,5,hard_ebrem,854,11,11,0.7919946212597485,1.8644276037812233,0.9337500849469267,-92.31661358495447,-92.3224030597842
79,6,no_ebrem,232,0,0,0.0,0.0,0.0,-0.39001997923162296,1.2615947688386062
79,7,hard_ebrem,232,2,2,0.1289629746246312,0.2706317901611328,0.13495750959118447,-0.8001008960826129,-0.16526968913537654
79,8,light_ebrem,233,1,1,0.001014184684504325,0.0020351409912109375,0.0010141846845043156,-0.11185366814418067,-0.09815292135973967
