entry_index,file_index,event_id,tracking_file,material_step_file,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
95,3,95,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0019290646010700074,0.0019290646010700074,0.003867626190185547
96,3,96,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.0008975799448545096,0.0008975799448545096,0.0017442703247070312
98,3,98,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,2,0.005231827898677599,0.0031092508978775024,0.010495543479919434
99,3,99,trk-e--2.0-85-3.root,gsf_material_steps-e--2.0-85-3.root,1,0.00038722414889202916,0.00038722414889202916,0.0007760524749755859
2,4,2,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.004463381190054294,0.004463381190054294,0.008949637413024902
4,4,4,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,2,0.03099012332818807,0.029078949429973466,0.061191439628601074
5,4,5,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.006743760400718779,0.006743760400718779,0.013527512550354004
8,4,8,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.0025204962055166424,0.0025204962055166424,0.005051851272583008
10,4,10,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.014649687886458151,0.014649687886458151,0.02939283847808838
11,4,11,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,2.3413787226478355e-05,2.3413787226478355e-05,4.696846008300781e-05
13,4,13,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,3.4824375208519776e-05,3.4824375208519776e-05,6.985664367675781e-05
16,4,16,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,2,0.05563756687876975,0.05155777948536455,0.11161744594573975
24,4,24,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,2,0.04858592866679068,0.048289373952547954,0.09751951694488525
26,4,26,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,2,0.0009096735887693663,0.0009091981416436967,0.0018258094787597656
33,4,33,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.01001618165857665,0.01001618165857665,0.0200955867767334
34,4,34,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.0003648083162978155,0.0003648083162978155,0.0007314682006835938
39,4,39,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.039919795367749034,0.039919795367749034,0.08014750480651855
42,4,42,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.000425276979912792,0.000425276979912792,0.0008528232574462891
44,4,44,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,2,0.016979871679674075,0.01680377569018432,0.03406047821044922
45,4,45,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.0075086055524095086,0.0075086055524095086,0.0077784061431884766
46,4,46,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.00011808513712441293,0.00011808513712441293,0.00023674964904785156
48,4,48,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,1.3191564814274415e-05,1.3191564814274415e-05,2.6464462280273438e-05
51,4,51,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,2,0.003227905597767866,0.0029018557060455086,0.006472110748291016
54,4,54,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.014763420164299657,0.014763420164299657,0.029605984687805176
60,4,60,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.008332573033129176,0.008332573033129176,0.016701221466064453
62,4,62,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.08772019625713179,0.08772019625713179,0.1758960485458374
63,4,63,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,2,0.02186911072990705,0.012923967158148142,0.043845534324645996
65,4,65,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.005870270221411955,0.005870270221411955,0.011767983436584473
66,4,66,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,7.509303324682026e-05,7.509303324682026e-05,0.00015044212341308594
69,4,69,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,2,0.09513999708679777,0.09491756890173153,0.19092631340026855
72,4,72,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.025155729538500093,0.025155729538500093,0.05046439170837402
73,4,73,trk-e--2.0-85-4.root,gsf_material_steps-e--2.0-85-4.root,1,0.001165287275880722,0.001165287275880722,0.0023374557495117188
